Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
НЛБ БРИК,2025-10-13,11.10.2025,169.9138,169.9138,169.9138
Иново Статус Солар,2025-10-13,12.10.2025,66.275,66.275,66.275
ВЕГА КЕШ,2025-10-13,12.10.2025,109.845,109.845,109.845
ВФП Премиум Акции,2025-10-13,12.10.2025,193.9717,193.9717,193.9717
Граве Флекс Бонд Евро,2025-10-13,12.10.2025,117.2454,117.2454,117.2454
ВФП Етикс Акции,2025-10-13,12.10.2025,101.4766,101.4766,101.4766
НЛБ Кеш Депозит,2025-10-13,12.10.2025,134.2587,134.2587,134.2587
КБ Инвест Паричен,2025-10-13,12.10.2025,143.2244,143.2244,143.2244
Иново Статус Балансиран,2025-10-13,12.10.2025,45.1265,45.1265,45.1265
НЛБ Обврзници,2025-10-13,10.10.2025,104.1266,104.1266,104.1266
КБ Инвест - МБИ 10,2025-10-13,12.10.2025,435.5161,435.5161,435.5161
ВФП Кеш Депозит,2025-10-13,12.10.2025,122.3796,122.3796,122.3796
Граве Глобал,2025-10-13,12.10.2025,174.3952,174.3952,174.3952
КБ Инвест - Обврзници,2025-10-13,12.10.2025,157.7727,157.7727,157.7727
ВФП БОНД,2025-10-13,11.10.2025,129.9888,129.9888,129.9888
НЛБ Америка,2025-10-13,12.10.2025,182.8862,182.8862,182.8862
ВЕГА ФИНАНСИИ,2025-10-13,12.10.2025,167.0466,167.0466,167.0466
НЛБ Топ Брендови,2025-10-13,12.10.2025,186.7078,186.7078,186.7078
КБ Инвест - Балансиран,2025-10-13,12.10.2025,246.6854,246.6854,246.6854
ВФП Дивиденда Акции,2025-10-10,09.10.2025,163.8942,163.8942,163.8942
ВФП Етикс Акции,2025-10-10,09.10.2025,103.9884,103.9884,103.9884
Граве Флекс Бонд Евро,2025-10-10,09.10.2025,117.2623,117.2623,117.2623
