Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
КБ Инвест - МБИ 10,2022-01-14,13.1.2022,255.464,255.464,255.464
Граве Глобал,2022-01-14,13.1.2022,136.8015,136.8015,136.8015
ВФП Дивиденда Акции,2022-01-14,13.1.2022,123.8258,123.8258,123.8258
КБ Инвест - Акции,2022-01-14,13.1.2022,105.6769,105.6769,105.6769
КБ Инвест - Златен фонд,2022-01-14,13.1.2022,93.7935,93.7935,93.7935
Генерали Југоисточна Европа,2022-01-13,12.1.2022,64.1364,64.1364,64.1364
Генерали Глобал- Растечки Пазари,2022-01-13,12.1.2022,79.8642,79.8642,79.8642
Иново Статус Балансиран,2022-01-13,12.1.2022,36.6566,36.6566,36.6566
НЛБ БРИК,2022-01-13,12.1.2022,171.0041,171.0041,171.0041
НЛБ Америка,2022-01-13,12.1.2022,133.8999,133.8999,133.8999
КБ Инвест - Балансиран,2022-01-13,12.1.2022,194.4084,194.4084,194.4084
КБ Инвест - Обврзници,2022-01-13,12.1.2022,157.5357,157.5357,157.5357
КБ Инвест Паричен,2022-01-13,12.1.2022,131.6714,131.6714,131.6714
НЛБ Кеш Депозит,2022-01-13,12.1.2022,124.3578,124.3578,124.3578
Генерали Кеш Фонд,2022-01-13,12.1.2022,1225.4593,1225.4593,1225.4593
НЛБ Топ Брендови,2022-01-13,12.1.2022,158.5236,158.5236,158.5236
ВФП Премиум Акции,2022-01-13,12.1.2022,151.1783,151.1783,151.1783
ВФП Кеш Депозит,2022-01-13,12.1.2022,112.9072,112.9072,112.9072
ВФП БОНД,2022-01-13,12.1.2022,117.9146,117.9146,117.9146
КБ Инвест - МБИ 10,2022-01-13,12.1.2022,254.7598,254.7598,254.7598
Граве Глобал,2022-01-13,12.1.2022,136.6307,136.6307,136.6307
ВФП Дивиденда Акции,2022-01-13,12.1.2022,125.0139,125.0139,125.0139
КБ Инвест - Акции,2022-01-13,12.1.2022,106.2334,106.2334,106.2334
КБ Инвест - Златен фонд,2022-01-13,12.1.2022,95.1943,95.1943,95.1943
Иново Статус Балансиран,2022-12-01,11.1.2022,36.625,36.625,36.625
НЛБ БРИК,2022-12-01,11.1.2022,169.2252,169.2252,169.2252
НЛБ Америка,2022-12-01,11.1.2022,133.7919,133.7919,133.7919
КБ Инвест - Балансиран,2022-12-01,11.1.2022,194.1445,194.1445,194.1445
КБ Инвест - Обврзници,2022-12-01,11.1.2022,157.4708,157.4708,157.4708
КБ Инвест Паричен,2022-12-01,11.1.2022,131.6658,131.6658,131.6658
НЛБ Кеш Депозит,2022-12-01,11.1.2022,124.3539,124.3539,124.3539
НЛБ Топ Брендови,2022-12-01,11.1.2022,158.4231,158.4231,158.4231
ВФП Премиум Акции,2022-12-01,11.1.2022,150.6488,150.6488,150.6488
ВФП Кеш Депозит,2022-12-01,11.1.2022,112.9034,112.9034,112.9034
ВФП БОНД,2022-12-01,11.1.2022,117.887,117.887,117.887
КБ Инвест - МБИ 10,2022-12-01,11.1.2022,254.4363,254.4363,254.4363
Граве Глобал,2022-12-01,11.1.2022,135.7695,135.7695,135.7695
ВФП Дивиденда Акции,2022-12-01,11.1.2022,124.7405,124.7405,124.7405
КБ Инвест - Акции,2022-12-01,11.1.2022,105.938,105.938,105.938
КБ Инвест - Златен фонд,2022-12-01,11.1.2022,94.0075,94.0075,94.0075
Иново Статус Балансиран,2022-11-01,10.1.2022,36.6199,36.6199,36.6199
НЛБ БРИК,2022-11-01,10.1.2022,165.8607,165.8607,165.8607
НЛБ Америка,2022-11-01,10.1.2022,133.2462,133.2462,133.2462
КБ Инвест - Балансиран,2022-11-01,10.1.2022,193.7974,193.7974,193.7974
КБ Инвест - Обврзници,2022-11-01,10.1.2022,157.3853,157.3853,157.3853
КБ Инвест Паричен,2022-11-01,10.1.2022,131.6622,131.6622,131.6622
НЛБ Кеш Депозит,2022-11-01,10.1.2022,124.3506,124.3506,124.3506
НЛБ Топ Брендови,2022-11-01,10.1.2022,157.0987,157.0987,157.0987
ВФП Премиум Акции,2022-11-01,10.1.2022,149.5976,149.5976,149.5976
ВФП Кеш Депозит,2022-11-01,10.1.2022,112.9002,112.9002,112.9002
ВФП БОНД,2022-11-01,10.1.2022,117.8094,117.8094,117.8094
КБ Инвест - МБИ 10,2022-11-01,10.1.2022,254.683,254.683,254.683
Граве Глобал,2022-11-01,10.1.2022,135.9918,135.9918,135.9918
КБ Инвест - Акции,2022-11-01,10.1.2022,105.1366,105.1366,105.1366
КБ Инвест - Златен фонд,2022-11-01,10.1.2022,92.3185,92.3185,92.3185
Генерали Југоисточна Европа,2022-10-01,05.1.2022,63.8428,63.8428,63.8428
Генерали Глобал- Растечки Пазари,2022-10-01,05.1.2022,76.5678,76.5678,76.5678
НЛБ БРИК,2022-10-01,05.1.2022,162.92,162.92,162.92
КБ Инвест - Балансиран,2022-10-01,05.1.2022,193.3568,193.3568,193.3568
КБ Инвест - Обврзници,2022-10-01,05.1.2022,157.902,157.902,157.902
КБ Инвест Паричен,2022-10-01,05.1.2022,131.6304,131.6304,131.6304
НЛБ Кеш Депозит,2022-10-01,05.1.2022,124.3283,124.3283,124.3283
Генерали Кеш Фонд,2022-10-01,05.1.2022,1225.0304,1225.0304,1225.0304
НЛБ Топ Брендови,2022-10-01,05.1.2022,157.8054,157.8054,157.8054
ВФП Кеш Депозит,2022-10-01,05.1.2022,112.8782,112.8782,112.8782
ВФП БОНД,2022-10-01,05.1.2022,118.321,118.321,118.321
КБ Инвест - МБИ 10,2022-10-01,05.1.2022,254.2348,254.2348,254.2348
ВФП Дивиденда Акции,2022-10-01,05.1.2022,124.1951,124.1951,124.1951
КБ Инвест - Акции,2022-10-01,05.1.2022,104.4494,104.4494,104.4494
КБ Инвест - Златен фонд,2022-10-01,05.1.2022,93.6949,93.6949,93.6949
Генерали Југоисточна Европа,2022-04-01,03.1.2022,63.0969,63.0969,63.0969
Генерали Глобал- Растечки Пазари,2022-04-01,03.1.2022,76.9121,76.9121,76.9121
Иново Статус Балансиран,2022-04-01,03.1.2022,36.461,36.461,36.461
НЛБ БРИК,2022-04-01,03.1.2022,163.3147,163.3147,163.3147
НЛБ Америка,2022-04-01,03.1.2022,131.7982,131.7982,131.7982
КБ Инвест - Балансиран,2022-04-01,03.1.2022,191.943,191.943,191.943
КБ Инвест - Обврзници,2022-04-01,03.1.2022,157.6454,157.6454,157.6454
КБ Инвест Паричен,2022-04-01,03.1.2022,131.5879,131.5879,131.5879
НЛБ Кеш Депозит,2022-04-01,03.1.2022,124.3024,124.3024,124.3024
Генерали Кеш Фонд,2022-04-01,03.1.2022,1224.6488,1224.6488,1224.6488
ВФП Премиум Акции,2022-04-01,03.1.2022,151.7863,151.7863,151.7863
ВФП Кеш Депозит,2022-04-01,03.1.2022,112.8485,112.8485,112.8485
ВФП БОНД,2022-04-01,03.1.2022,118.1814,118.1814,118.1814
КБ Инвест - МБИ 10,2022-04-01,03.1.2022,251.6226,251.6226,251.6226
Граве Глобал,2022-04-01,03.1.2022,138.0104,138.0104,138.0104
ВФП Дивиденда Акции,2022-04-01,03.1.2022,124.7419,124.7419,124.7419
КБ Инвест - Акции,2022-04-01,03.1.2022,103.9472,103.9472,103.9472
КБ Инвест - Златен фонд,2022-04-01,03.1.2022,94.1344,94.1344,94.1344
Генерали Југоисточна Европа,2022-03-01,02.1.2022,62.5709,62.5709,62.5709
Генерали Глобал- Растечки Пазари,2022-03-01,02.1.2022,76.323,76.323,76.323
Иново Статус Балансиран,2022-03-01,02.1.2022,36.4922,36.4922,36.4922
НЛБ БРИК,2022-03-01,02.1.2022,161.5419,161.5419,161.5419
НЛБ Америка,2022-03-01,02.1.2022,130.6261,130.6261,130.6261
КБ Инвест - Балансиран,2022-03-01,02.1.2022,191.5861,191.5861,191.5861
КБ Инвест - Обврзници,2022-03-01,02.1.2022,157.6709,157.6709,157.6709
КБ Инвест Паричен,2022-03-01,02.1.2022,131.5786,131.5786,131.5786
НЛБ Кеш Депозит,2022-03-01,02.1.2022,124.2941,124.2941,124.2941
Генерали Кеш Фонд,2022-03-01,02.1.2022,1224.5585,1224.5585,1224.5585
НЛБ Топ Брендови,2022-04-01,02.1.2022,156.5324,156.5324,156.5324
ВФП Премиум Акции,2022-03-01,02.1.2022,150.7256,150.7256,150.7256
ВФП Кеш Депозит,2022-03-01,02.1.2022,112.8422,112.8422,112.8422
ВФП БОНД,2022-03-01,02.1.2022,118.2321,118.2321,118.2321
КБ Инвест - МБИ 10,2022-03-01,02.1.2022,252.441,252.441,252.441
Граве Глобал,2022-03-01,02.1.2022,138.3031,138.3031,138.3031
ВФП Дивиденда Акции,2022-03-01,02.1.2022,124.0529,124.0529,124.0529
КБ Инвест - Акции,2022-03-01,02.1.2022,103.3005,103.3005,103.3005
КБ Инвест - Златен фонд,2022-03-01,02.1.2022,95.593,95.593,95.593
Генерали Југоисточна Европа,2022-02-03,01.3.2022,59.1122,59.1122,59.1122
Генерали Глобал- Растечки Пазари,2022-02-03,01.3.2022,74.3705,74.3705,74.3705
Иново Статус Балансиран,2022-02-03,01.3.2022,36.2535,36.2535,36.2535
НЛБ БРИК,2022-02-03,01.3.2022,152.5677,152.5677,152.5677
НЛБ Америка,2022-02-03,01.3.2022,122.9049,122.9049,122.9049
КБ Инвест - Балансиран,2022-02-03,01.3.2022,171.0509,171.0509,171.0509
КБ Инвест - Обврзници,2022-02-03,01.3.2022,131.1282,131.1282,131.1282
КБ Инвест Паричен,2022-02-03,01.3.2022,132.2518,132.2518,132.2518
НЛБ Кеш Депозит,2022-02-03,01.3.2022,124.5734,124.5734,124.5734
Генерали Кеш Фонд,2022-02-03,01.3.2022,1228.3447,1228.3447,1228.3447
НЛБ Топ Брендови,2022-02-03,01.3.2022,147.9649,147.9649,147.9649
ВФП Премиум Акции,2022-02-03,01.3.2022,138.2344,138.2344,138.2344
ВФП Кеш Депозит,2022-02-03,01.3.2022,113.1074,113.1074,113.1074
ВФП БОНД,2022-02-03,01.3.2022,115.147,115.147,115.147
КБ Инвест - МБИ 10,2022-02-03,01.3.2022,241.0971,241.0971,241.0971
Граве Глобал,2022-02-03,01.3.2022,128.0191,128.0191,128.0191
ВФП Дивиденда Акции,2022-02-03,01.3.2022,117.2127,117.2127,117.2127
КБ Инвест - Акции,2022-02-03,01.3.2022,96.3703,96.3703,96.3703
КБ Инвест - Златен фонд,2022-02-03,01.3.2022,97.8778,97.8778,97.8778
Генерали Југоисточна Европа,2022-01-03,28.2.2022,58.7042,58.7042,58.7042
Генерали Глобал- Растечки Пазари,2022-01-03,28.2.2022,74.5765,74.5765,74.5765
Иново Статус Балансиран,2022-01-03,28.2.2022,36.2872,36.2872,36.2872
НЛБ БРИК,2022-01-03,28.2.2022,153.0786,153.0786,153.0786
НЛБ Америка,2022-01-03,28.2.2022,122.6031,122.6031,122.6031
КБ Инвест - Балансиран,2022-01-03,28.2.2022,177.1055,177.1055,177.1055
КБ Инвест - Обврзници,2022-01-03,28.2.2022,145.0188,145.0188,145.0188
КБ Инвест Паричен,2022-01-03,28.2.2022,132.246,132.246,132.246
НЛБ Кеш Депозит,2022-01-03,28.2.2022,124.5683,124.5683,124.5683
Генерали Кеш Фонд,2022-01-03,28.2.2022,1228.288,1228.288,1228.288
НЛБ Топ Брендови,2022-01-03,28.2.2022,150.2045,150.2045,150.2045
ВФП Премиум Акции,2022-01-03,28.2.2022,141.2954,141.2954,141.2954
ВФП Кеш Депозит,2022-01-03,28.2.2022,113.1034,113.1034,113.1034
ВФП БОНД,2022-01-03,28.2.2022,115.5589,115.5589,115.5589
КБ Инвест - МБИ 10,2022-01-03,28.2.2022,241.1749,241.1749,241.1749
Граве Глобал,2022-01-03,28.2.2022,128.6381,128.6381,128.6381
ВФП Дивиденда Акции,2022-01-03,28.2.2022,118.2788,118.2788,118.2788
КБ Инвест - Акции,2022-01-03,28.2.2022,98.3242,98.3242,98.3242
КБ Инвест - Златен фонд,2022-01-03,28.2.2022,99.5779,99.5779,99.5779
Генерали Југоисточна Европа,2022-02-28,25.2.2022,60.3255,60.3255,60.3255
Генерали Глобал- Растечки Пазари,2022-02-28,25.2.2022,75.3128,75.3128,75.3128
Иново Статус Балансиран,2022-02-28,25.2.2022,36.3092,36.3092,36.3092
НЛБ БРИК,2022-02-28,25.2.2022,154.8104,154.8104,154.8104
НЛБ Америка,2022-02-28,25.2.2022,125.6935,125.6935,125.6935
КБ Инвест - Балансиран,2022-02-28,25.2.2022,182.9029,182.9029,182.9029
КБ Инвест - Обврзници,2022-02-28,25.2.2022,147.6247,147.6247,147.6247
КБ Инвест Паричен,2022-02-28,25.2.2022,132.2296,132.2296,132.2296
НЛБ Кеш Депозит,2022-02-28,25.2.2022,124.5536,124.5536,124.5536
Генерали Кеш Фонд,2022-02-28,25.2.2022,1228.1168,1228.1168,1228.1168
НЛБ Топ Брендови,2022-02-28,25.2.2022,151.377,151.377,151.377
ВФП Премиум Акции,2022-02-28,25.2.2022,142.7596,142.7596,142.7596
ВФП Кеш Депозит,2022-02-28,25.2.2022,113.0917,113.0917,113.0917
ВФП БОНД,2022-02-28,25.2.2022,115.9293,115.9293,115.9293
КБ Инвест - МБИ 10,2022-02-28,25.2.2022,242.9469,242.9469,242.9469
Граве Глобал,2022-02-28,25.2.2022,126.512,126.512,126.512
ВФП Дивиденда Акции,2022-02-28,25.2.2022,119.3006,119.3006,119.3006
КБ Инвест - Акции,2022-02-28,25.2.2022,100.6695,100.6695,100.6695
КБ Инвест - Златен фонд,2022-02-28,25.2.2022,101.9023,101.9023,101.9023
Генерали Југоисточна Европа,2022-02-25,24.2.2022,58.5684,58.5684,58.5684
Генерали Глобал- Растечки Пазари,2022-02-25,24.2.2022,73.2914,73.2914,73.2914
Иново Статус Балансиран,2022-02-25,24.2.2022,35.928,35.928,35.928
НЛБ БРИК,2022-02-25,24.2.2022,150.5201,150.5201,150.5201
НЛБ Америка,2022-02-25,24.2.2022,122.2273,122.2273,122.2273
КБ Инвест - Балансиран,2022-02-25,24.2.2022,178.9158,178.9158,178.9158
КБ Инвест - Обврзници,2022-02-25,24.2.2022,145.814,145.814,145.814
КБ Инвест Паричен,2022-02-25,24.2.2022,132.2245,132.2245,132.2245
НЛБ Кеш Депозит,2022-02-25,24.2.2022,124.5494,124.5494,124.5494
Генерали Кеш Фонд,2022-02-25,24.2.2022,1228.0598,1228.0598,1228.0598
НЛБ Топ Брендови,2022-02-25,24.2.2022,147.1067,147.1067,147.1067
ВФП Кеш Депозит,2022-02-25,24.2.2022,113.0877,113.0877,113.0877
ВФП БОНД,2022-02-25,24.2.2022,114.9718,114.9718,114.9718
КБ Инвест - МБИ 10,2022-02-25,24.2.2022,234.6688,234.6688,234.6688
Граве Глобал,2022-02-25,24.2.2022,125.3391,125.3391,125.3391
ВФП Дивиденда Акции,2022-02-25,24.2.2022,115.2589,115.2589,115.2589
КБ Инвест - Акции,2022-02-25,24.2.2022,97.5117,97.5117,97.5117
КБ Инвест - Златен фонд,2022-02-25,24.2.2022,99.33,99.33,99.33
Генерали Југоисточна Европа,2022-02-24,23.2.2022,61.6091,61.6091,61.6091
Генерали Глобал- Растечки Пазари,2022-02-24,23.2.2022,74.533,74.533,74.533
Иново Статус Балансиран,2022-02-24,23.2.2022,36.7129,36.7129,36.7129
НЛБ БРИК,2022-02-24,23.2.2022,158.2755,158.2755,158.2755
НЛБ Америка,2022-02-24,23.2.2022,128.3004,128.3004,128.3004
КБ Инвест - Балансиран,2022-02-24,23.2.2022,186.2137,186.2137,186.2137
КБ Инвест - Обврзници,2022-02-24,23.2.2022,150.7071,150.7071,150.7071
КБ Инвест Паричен,2022-02-24,23.2.2022,132.2198,132.2198,132.2198
НЛБ Кеш Депозит,2022-02-24,23.2.2022,124.5457,124.5457,124.5457
Генерали Кеш Фонд,2022-02-24,23.2.2022,1228.0053,1228.0053,1228.0053
НЛБ Топ Брендови,2022-02-24,23.2.2022,148.3542,148.3542,148.3542
ВФП Премиум Акции,2022-02-24,23.2.2022,140.5217,140.5217,140.5217
ВФП Кеш Депозит,2022-02-24,23.2.2022,113.084,113.084,113.084
ВФП БОНД,2022-02-24,23.2.2022,115.8807,115.8807,115.8807
КБ Инвест - МБИ 10,2022-02-24,23.2.2022,252.4226,252.4226,252.4226
Граве Глобал,2022-02-24,23.2.2022,126.5918,126.5918,126.5918
ВФП Дивиденда Акции,2022-02-24,23.2.2022,115.5044,115.5044,115.5044
КБ Инвест - Акции,2022-02-24,23.2.2022,99.886,99.886,99.886
КБ Инвест - Златен фонд,2022-02-24,23.2.2022,102.149,102.149,102.149
Генерали Југоисточна Европа,2022-02-23,22.2.2022,61.8669,61.8669,61.8669
Генерали Глобал- Растечки Пазари,2022-02-23,22.2.2022,75.2372,75.2372,75.2372
Иново Статус Балансиран,2022-02-23,22.2.2022,36.7034,36.7034,36.7034
НЛБ БРИК,2022-02-23,22.2.2022,160.6084,160.6084,160.6084
НЛБ Америка,2022-02-23,22.2.2022,128.7392,128.7392,128.7392
КБ Инвест - Балансиран,2022-02-23,22.2.2022,187.6234,187.6234,187.6234
КБ Инвест - Обврзници,2022-02-23,22.2.2022,152.5872,152.5872,152.5872
КБ Инвест Паричен,2022-02-23,22.2.2022,132.2148,132.2148,132.2148
НЛБ Кеш Депозит,2022-02-23,22.2.2022,124.5416,124.5416,124.5416
Генерали Кеш Фонд,2022-02-23,22.2.2022,1227.9495,1227.9495,1227.9495
НЛБ Топ Брендови,2022-02-23,22.2.2022,149.4816,149.4816,149.4816
ВФП Премиум Акции,2022-02-23,22.2.2022,141.6246,141.6246,141.6246
ВФП Кеш Депозит,2022-02-23,22.2.2022,113.0803,113.0803,113.0803
ВФП БОНД,2022-02-23,22.2.2022,116.3265,116.3265,116.3265
КБ Инвест - МБИ 10,2022-02-23,22.2.2022,252.8811,252.8811,252.8811
Граве Глобал,2022-02-23,22.2.2022,127.4598,127.4598,127.4598
ВФП Дивиденда Акции,2022-02-23,22.2.2022,116.6902,116.6902,116.6902
КБ Инвест - Акции,2022-02-23,22.2.2022,100.6772,100.6772,100.6772
КБ Инвест - Златен фонд,2022-02-23,22.2.2022,100.7131,100.7131,100.7131
Генерали Југоисточна Европа,2022-02-22,21.2.2022,62.6236,62.6236,62.6236
Генерали Глобал- Растечки Пазари,2022-02-22,21.2.2022,75.7701,75.7701,75.7701
Иново Статус Балансиран,2022-02-22,21.2.2022,36.8379,36.8379,36.8379
НЛБ БРИК,2022-02-22,21.2.2022,161.078,161.078,161.078
НЛБ Америка,2022-02-22,21.2.2022,130.4002,130.4002,130.4002
КБ Инвест - Балансиран,2022-02-22,21.2.2022,189.1251,189.1251,189.1251
КБ Инвест - Обврзници,2022-02-22,21.2.2022,153.7224,153.7224,153.7224
КБ Инвест Паричен,2022-02-22,21.2.2022,132.2099,132.2099,132.2099
НЛБ Кеш Депозит,2022-02-22,21.2.2022,124.5375,124.5375,124.5375
Генерали Кеш Фонд,2022-02-22,21.2.2022,1227.8936,1227.8936,1227.8936
НЛБ Топ Брендови,2022-02-22,21.2.2022,150.13,150.13,150.13
ВФП Премиум Акции,2022-02-22,21.2.2022,142.2413,142.2413,142.2413
ВФП Кеш Депозит,2022-02-22,21.2.2022,113.0765,113.0765,113.0765
ВФП БОНД,2022-02-22,21.2.2022,116.5154,116.5154,116.5154
КБ Инвест - МБИ 10,2022-02-22,21.2.2022,255.0172,255.0172,255.0172
Граве Глобал,2022-02-22,21.2.2022,128.0074,128.0074,128.0074
ВФП Дивиденда Акции,2022-02-22,21.2.2022,117.8392,117.8392,117.8392
КБ Инвест - Акции,2022-02-22,21.2.2022,101.3446,101.3446,101.3446
КБ Инвест - Златен фонд,2022-02-22,21.2.2022,101.4159,101.4159,101.4159
Генерали Југоисточна Европа,2022-02-21,18.2.2022,62.9703,62.9703,62.9703
Генерали Глобал- Растечки Пазари,2022-02-21,18.2.2022,75.9772,75.9772,75.9772
Иново Статус Балансиран,2022-02-21,18.2.2022,36.8756,36.8756,36.8756
НЛБ БРИК,2022-02-21,18.2.2022,163.9856,163.9856,163.9856
НЛБ Америка,2022-02-21,18.2.2022,130.9747,130.9747,130.9747
КБ Инвест - Балансиран,2022-02-21,18.2.2022,190.4537,190.4537,190.4537
КБ Инвест - Обврзници,2022-02-21,18.2.2022,153.9948,153.9948,153.9948
КБ Инвест Паричен,2022-02-21,18.2.2022,132.196,132.196,132.196
НЛБ Кеш Депозит,2022-02-21,18.2.2022,124.5263,124.5263,124.5263
Генерали Кеш Фонд,2022-02-21,18.2.2022,1227.7271,1227.7271,1227.7271
НЛБ Топ Брендови,2022-02-21,18.2.2022,150.6429,150.6429,150.6429
ВФП Премиум Акции,2022-02-21,18.2.2022,143.7669,143.7669,143.7669
ВФП Кеш Депозит,2022-02-21,18.2.2022,113.066,113.066,113.066
ВФП БОНД,2022-02-21,18.2.2022,116.5397,116.5397,116.5397
КБ Инвест - МБИ 10,2022-02-21,18.2.2022,256.1553,256.1553,256.1553
Граве Глобал,2022-02-21,18.2.2022,129.1032,129.1032,129.1032
ВФП Дивиденда Акции,2022-02-21,18.2.2022,118.1614,118.1614,118.1614
КБ Инвест - Акции,2022-02-21,18.2.2022,102.1959,102.1959,102.1959
КБ Инвест - Златен фонд,2022-02-21,18.2.2022,101.5866,101.5866,101.5866
Генерали Југоисточна Европа,2022-02-18,17.2.2022,63.2156,63.2156,63.2156
Генерали Глобал- Растечки Пазари,2022-02-18,17.2.2022,76.5685,76.5685,76.5685
Иново Статус Балансиран,2022-02-18,17.2.2022,36.8724,36.8724,36.8724
НЛБ БРИК,2022-02-18,17.2.2022,165.5402,165.5402,165.5402
НЛБ Америка,2022-02-18,17.2.2022,131.3549,131.3549,131.3549
КБ Инвест - Балансиран,2022-02-18,17.2.2022,191.572,191.572,191.572
КБ Инвест - Обврзници,2022-02-18,17.2.2022,154.3737,154.3737,154.3737
КБ Инвест Паричен,2022-02-18,17.2.2022,132.1914,132.1914,132.1914
НЛБ Кеш Депозит,2022-02-18,17.2.2022,124.5225,124.5225,124.5225
Генерали Кеш Фонд,2022-02-18,17.2.2022,1227.6717,1227.6717,1227.6717
НЛБ Топ Брендови,2022-02-18,17.2.2022,151.3991,151.3991,151.3991
ВФП Премиум Акции,2022-02-18,17.2.2022,144.6446,144.6446,144.6446
ВФП Кеш Депозит,2022-02-18,17.2.2022,113.0625,113.0625,113.0625
ВФП БОНД,2022-02-18,17.2.2022,116.5977,116.5977,116.5977
КБ Инвест - МБИ 10,2022-02-18,17.2.2022,256.8536,256.8536,256.8536
Граве Глобал,2022-02-18,17.2.2022,130.7038,130.7038,130.7038
ВФП Дивиденда Акции,2022-02-18,17.2.2022,119.0622,119.0622,119.0622
КБ Инвест - Акции,2022-02-18,17.2.2022,103.0749,103.0749,103.0749
КБ Инвест - Златен фонд,2022-02-18,17.2.2022,101.9977,101.9977,101.9977
Генерали Југоисточна Европа,2022-02-17,16.2.2022,63.563,63.563,63.563
Генерали Глобал- Растечки Пазари,2022-02-17,16.2.2022,77.5633,77.5633,77.5633
Иново Статус Балансиран,2022-02-17,16.2.2022,36.8727,36.8727,36.8727
НЛБ БРИК,2022-02-17,16.2.2022,168.0038,168.0038,168.0038
НЛБ Америка,2022-02-17,16.2.2022,132.034,132.034,132.034
КБ Инвест - Балансиран,2022-02-17,16.2.2022,192.537,192.537,192.537
КБ Инвест - Обврзници,2022-02-17,16.2.2022,154.7513,154.7513,154.7513
КБ Инвест Паричен,2022-02-17,16.2.2022,132.1871,132.1871,132.1871
НЛБ Кеш Депозит,2022-02-17,16.2.2022,124.5189,124.5189,124.5189
Генерали Кеш Фонд,2022-02-17,16.2.2022,1227.6163,1227.6163,1227.6163
НЛБ Топ Брендови,2022-02-17,16.2.2022,153.0559,153.0559,153.0559
ВФП Премиум Акции,2022-02-17,16.2.2022,146.2713,146.2713,146.2713
ВФП Кеш Депозит,2022-02-17,16.2.2022,113.0589,113.0589,113.0589
ВФП БОНД,2022-02-17,16.2.2022,116.7261,116.7261,116.7261
КБ Инвест - МБИ 10,2022-02-17,16.2.2022,257.0361,257.0361,257.0361
Граве Глобал,2022-02-17,16.2.2022,130.9447,130.9447,130.9447
ВФП Дивиденда Акции,2022-02-17,16.2.2022,120.5715,120.5715,120.5715
КБ Инвест - Акции,2022-02-17,16.2.2022,104.2653,104.2653,104.2653
КБ Инвест - Златен фонд,2022-02-17,16.2.2022,99.2115,99.2115,99.2115
Генерали Југоисточна Европа,2022-02-16,15.2.2022,63.1944,63.1944,63.1944
Генерали Глобал- Растечки Пазари,2022-02-16,15.2.2022,77.7896,77.7896,77.7896
Иново Статус Балансиран,2022-02-16,15.2.2022,36.812,36.812,36.812
НЛБ БРИК,2022-02-16,15.2.2022,167.9119,167.9119,167.9119
НЛБ Америка,2022-02-16,15.2.2022,131.5034,131.5034,131.5034
КБ Инвест - Балансиран,2022-02-16,15.2.2022,191.8199,191.8199,191.8199
КБ Инвест - Обврзници,2022-02-16,15.2.2022,154.5633,154.5633,154.5633
КБ Инвест Паричен,2022-02-16,15.2.2022,132.1828,132.1828,132.1828
НЛБ Кеш Депозит,2022-02-16,15.2.2022,124.5153,124.5153,124.5153
Генерали Кеш Фонд,2022-02-16,15.2.2022,1227.562,1227.562,1227.562
НЛБ Топ Брендови,2022-02-16,15.2.2022,153.3431,153.3431,153.3431
ВФП Премиум Акции,2022-02-16,15.2.2022,146.4987,146.4987,146.4987
ВФП Кеш Депозит,2022-02-16,15.2.2022,113.0555,113.0555,113.0555
ВФП БОНД,2022-02-16,15.2.2022,116.7369,116.7369,116.7369
КБ Инвест - МБИ 10,2022-02-16,15.2.2022,255.6848,255.6848,255.6848
Граве Глобал,2022-02-16,15.2.2022,130.1955,130.1955,130.1955
ВФП Дивиденда Акции,2022-02-16,15.2.2022,120.6008,120.6008,120.6008
КБ Инвест - Акции,2022-02-16,15.2.2022,104.2375,104.2375,104.2375
КБ Инвест - Златен фонд,2022-02-16,15.2.2022,96.956,96.956,96.956
Генерали Југоисточна Европа,2022-02-15,14.2.2022,62.4512,62.4512,62.4512
Генерали Глобал- Растечки Пазари,2022-02-15,14.2.2022,76.0516,76.0516,76.0516
Иново Статус Балансиран,2022-02-15,14.2.2022,36.6999,36.6999,36.6999
НЛБ БРИК,2022-02-15,14.2.2022,163.9807,163.9807,163.9807
НЛБ Америка,2022-02-15,14.2.2022,130.2841,130.2841,130.2841
КБ Инвест - Балансиран,2022-02-15,14.2.2022,189.9131,189.9131,189.9131
КБ Инвест - Обврзници,2022-02-15,14.2.2022,154.1671,154.1671,154.1671
КБ Инвест Паричен,2022-02-15,14.2.2022,132.1798,132.1798,132.1798
НЛБ Кеш Депозит,2022-02-15,14.2.2022,124.5126,124.5126,124.5126
Генерали Кеш Фонд,2022-02-15,14.2.2022,1227.5218,1227.5218,1227.5218
НЛБ Топ Брендови,2022-02-15,14.2.2022,151.0991,151.0991,151.0991
ВФП Премиум Акции,2022-02-15,14.2.2022,143.6696,143.6696,143.6696
ВФП Кеш Депозит,2022-02-15,14.2.2022,113.0531,113.0531,113.0531
ВФП БОНД,2022-02-15,14.2.2022,116.4474,116.4474,116.4474
КБ Инвест - МБИ 10,2022-02-15,14.2.2022,253.1494,253.1494,253.1494
Граве Глобал,2022-02-15,14.2.2022,130.5155,130.5155,130.5155
ВФП Дивиденда Акции,2022-02-15,14.2.2022,118.5252,118.5252,118.5252
КБ Инвест - Акции,2022-02-15,14.2.2022,102.3936,102.3936,102.3936
КБ Инвест - Златен фонд,2022-02-15,14.2.2022,97.7897,97.7897,97.7897
Генерали Југоисточна Европа,2022-02-14,11.2.2022,63.5307,63.5307,63.5307
